date;Owners;event;link;color;Price;val3;game
08.01.2020;4902000;;;;29.99;;Portal 2 
09.01.2020;2257000;;;;29.99;;Portal 2 
10.01.2020;4905000;;;;29.99;;Portal 2 
11.01.2020;4905000;;;;29.99;;Portal 2 
12.01.2020;4925000;;;#2B6A94;29.99;;Portal 2 
13.01.2020;4906000;;;;29.99;;Portal 2 
14.01.2020;4901000;;;;29.99;;Portal 2 
15.01.2020;4823000;;;;29.99;;Portal 2 
16.01.2020;4820000;;;;29.99;;Portal 2 
17.01.2020;4826000;;;;29.99;;Portal 2 
18.01.2020;4772000;;;;29.99;;Portal 2 
19.01.2020;4771000;;;#2B6A94;29.99;;Portal 2 
20.01.2020;4680000;;;;29.99;;Portal 2 
21.01.2020;4679000;;;;29.99;;Portal 2 
22.01.2020;4598000;;;;29.99;;Portal 2 
23.01.2020;2067000;;;;29.99;;Portal 2 
24.01.2020;2072000;;;;7.49;;Portal 2 
25.01.2020;2072000;;;;7.49;;Portal 2 
26.01.2020;2072000;;;#2B6A94;7.49;;Portal 2 
27.01.2020;4421000;;;;7.49;;Portal 2 
28.01.2020;4340000;;;;29.99;;Portal 2 
29.01.2020;1217000;;;;29.99;;Portal 2 
30.01.2020;4334000;;;;29.99;;Portal 2 
31.01.2020;4331000;;;;29.99;;Portal 2 
01.02.2020;4350000;;;;29.99;;Portal 2 
02.02.2020;4354000;;;#2B6A94;29.99;;Portal 2 
03.02.2020;4336000;;;;29.99;;Portal 2 
04.02.2020;4332000;;;;29.99;;Portal 2 
05.02.2020;4336000;;;;29.99;;Portal 2 
06.02.2020;4337000;;;;29.99;;Portal 2 
07.02.2020;4338000;;;;29.99;;Portal 2 
08.02.2020;4360000;;;;29.99;;Portal 2 
09.02.2020;4367000;;;#2B6A94;29.99;;Portal 2 
10.02.2020;4349000;;;;29.99;;Portal 2 
11.02.2020;4345000;;;;29.99;;Portal 2 
12.02.2020;4343000;;;;29.99;;Portal 2 
13.02.2020;4342000;;;;29.99;;Portal 2 
14.02.2020;4346000;;;;29.99;;Portal 2 
15.02.2020;4361000;;;;29.99;;Portal 2 
16.02.2020;4369000;;;#2B6A94;29.99;;Portal 2 
17.02.2020;4354000;;;;29.99;;Portal 2 
18.02.2020;2015000;;;;29.99;;Portal 2 
19.02.2020;4357000;;;;7.49;;Portal 2 
20.02.2020;4366000;;;;7.49;;Portal 2 
21.02.2020;4373000;;;;7.49;;Portal 2 
22.02.2020;4387000;;;;7.49;;Portal 2 
23.02.2020;4393000;;;#2B6A94;7.49;;Portal 2 
24.02.2020;4393000;;;;7.49;;Portal 2 
25.02.2020;4379000;;;;7.49;;Portal 2 
26.02.2020;4384000;;;;7.49;;Portal 2 
27.02.2020;4380000;;;;7.49;;Portal 2 
28.02.2020;1311000;;;;7.49;;Portal 2 
29.02.2020;4395000;;;;7.49;;Portal 2 
01.03.2020;4396000;;;#2B6A94;7.49;;Portal 2 
02.03.2020;4377000;;;;7.49;;Portal 2 
03.03.2020;4377000;;;;7.49;;Portal 2 
04.03.2020;4373000;;;;29.99;;Portal 2 
05.03.2020;4367000;;;;29.99;;Portal 2 
06.03.2020;4369000;;;;29.99;;Portal 2 
07.03.2020;4384000;;;;29.99;;Portal 2 
08.03.2020;4383000;;;#2B6A94;29.99;;Portal 2 
09.03.2020;4373000;;;;29.99;;Portal 2 
10.03.2020;4360000;;;;29.99;;Portal 2 
11.03.2020;4359000;;;;29.99;;Portal 2 
12.03.2020;4364000;;;;29.99;;Portal 2 
13.03.2020;4394000;;;;7.49;;Portal 2 
14.03.2020;4418000;;;;7.49;;Portal 2 
15.03.2020;4417000;;;#2B6A94;7.49;;Portal 2 
16.03.2020;4419000;;;;7.49;;Portal 2 
17.03.2020;4419000;;;;29.99;;Portal 2 
18.03.2020;4415000;;;;29.99;;Portal 2 
19.03.2020;4410000;;;;29.99;;Portal 2 
20.03.2020;4406000;;;;29.99;;Portal 2 
21.03.2020;2095000;;;;29.99;;Portal 2 
22.03.2020;4417000;;;#2B6A94;29.99;;Portal 2 
23.03.2020;4399000;;;;29.99;;Portal 2 
24.03.2020;4401000;;;;29.99;;Portal 2 
25.03.2020;4404000;;;;29.99;;Portal 2 
26.03.2020;4404000;;;;29.99;;Portal 2 
27.03.2020;4404000;;;;29.99;;Portal 2 
28.03.2020;4416000;;;;29.99;;Portal 2 
29.03.2020;4415000;;;#2B6A94;29.99;;Portal 2 
30.03.2020;4415000;;;;29.99;;Portal 2 
31.03.2020;4404000;;;;29.99;;Portal 2 
01.04.2020;4400000;;;;29.99;;Portal 2 
02.04.2020;4399000;;;;29.99;;Portal 2 
03.04.2020;4399000;;;;29.99;;Portal 2 
04.04.2020;4411000;;;;29.99;;Portal 2 
05.04.2020;4410000;;;#2B6A94;29.99;;Portal 2 
06.04.2020;4410000;;;;29.99;;Portal 2 
07.04.2020;4400000;;;;29.99;;Portal 2 
08.04.2020;4402000;;;;29.99;;Portal 2 
09.04.2020;4399000;;;;29.99;;Portal 2 
10.04.2020;4407000;;;;29.99;;Portal 2 
11.04.2020;2087000;;;;29.99;;Portal 2 
12.04.2020;2093000;;;#2B6A94;29.99;;Portal 2 
13.04.2020;4410000;;;;29.99;;Portal 2 
14.04.2020;4402000;;;;29.99;;Portal 2 
15.04.2020;4398000;;;;29.99;;Portal 2 
16.04.2020;4399000;;;;29.99;;Portal 2 
17.04.2020;4405000;;;;29.99;;Portal 2 
18.04.2020;4412000;;;;29.99;;Portal 2 
19.04.2020;4412000;;;#2B6A94;29.99;;Portal 2 
20.04.2020;4398000;;;;29.99;;Portal 2 
21.04.2020;4402000;;;;29.99;;Portal 2 
22.04.2020;4397000;;;;29.99;;Portal 2 
23.04.2020;4398000;;;;29.99;;Portal 2 
24.04.2020;4400000;;;;29.99;;Portal 2 
25.04.2020;4411000;;;;29.99;;Portal 2 
26.04.2020;4415000;;;#2B6A94;29.99;;Portal 2 
27.04.2020;4415000;;;;29.99;;Portal 2 
28.04.2020;4415000;;;;29.99;;Portal 2 
29.04.2020;2084000;;;;29.99;;Portal 2 
30.04.2020;4405000;;;;29.99;;Portal 2 
01.05.2020;4412000;;;;29.99;;Portal 2 
02.05.2020;2092000;;;;29.99;;Portal 2 
03.05.2020;4417000;;;#2B6A94;29.99;;Portal 2 
04.05.2020;4401000;;;;29.99;;Portal 2 
05.05.2020;4397000;;;;29.99;;Portal 2 
06.05.2020;4393000;;;;29.99;;Portal 2 
07.05.2020;4392000;;;;29.99;;Portal 2 
08.05.2020;4398000;;;;29.99;;Portal 2 
09.05.2020;4405000;;;;29.99;;Portal 2 
10.05.2020;2092000;;;#2B6A94;29.99;;Portal 2 
11.05.2020;2092000;;;;29.99;;Portal 2 
12.05.2020;4403000;;;;29.99;;Portal 2 
13.05.2020;4398000;;;;29.99;;Portal 2 
14.05.2020;4398000;;;;29.99;;Portal 2 
15.05.2020;4399000;;;;29.99;;Portal 2 
16.05.2020;2090000;;;;29.99;;Portal 2 
17.05.2020;2090000;;;#2B6A94;29.99;;Portal 2 
18.05.2020;4402000;;;;29.99;;Portal 2 
19.05.2020;2083000;;;;29.99;;Portal 2 
20.05.2020;2082000;;;;29.99;;Portal 2 
21.05.2020;4399000;;;;29.99;;Portal 2 
22.05.2020;4399000;;;;29.99;;Portal 2 
23.05.2020;4410000;;;;29.99;;Portal 2 
24.05.2020;4414000;;;#2B6A94;29.99;;Portal 2 
25.05.2020;4414000;;;;29.99;;Portal 2 
26.05.2020;4398000;;;;29.99;;Portal 2 
